Index,Direction,Type,Format,Frame ID,Length,Datas(Hex),Status,Time
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:02:32.035.900
CAN2,Receive,Extended,Data,0x0A010002,8,12 4E 00 00 11 A4 00 00 ,Success,00:02:32.037.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 88 00 00 ,Success,00:02:32.038.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:02:32.039.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:02:32.135.900
CAN2,Receive,Extended,Data,0x0A010002,8,12 4E 00 00 11 A1 00 00 ,Success,00:02:32.137.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 7F 00 00 ,Success,00:02:32.138.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:02:32.139.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:02:32.235.900
CAN2,Receive,Extended,Data,0x0A010002,8,12 4D 00 00 11 A1 00 00 ,Success,00:02:32.237.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 7F 00 00 ,Success,00:02:32.238.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:02:32.239.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:02:32.335.900
CAN2,Receive,Extended,Data,0x0A010002,8,12 4E 00 00 11 A2 00 00 ,Success,00:02:32.337.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 7B 00 00 ,Success,00:02:32.338.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:02:32.339.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:02:32.435.900
CAN2,Receive,Extended,Data,0x0A010002,8,12 4E 00 00 11 A0 00 00 ,Success,00:02:32.437.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 7F 00 00 ,Success,00:02:32.438.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:02:32.439.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:02:32.536.000
CAN2,Receive,Extended,Data,0x0A010002,8,12 4D 00 00 11 A0 00 00 ,Success,00:02:32.537.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 81 00 00 ,Success,00:02:32.538.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:02:32.539.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:02:32.636.000
CAN2,Receive,Extended,Data,0x0A010002,8,12 4E 00 00 11 A3 00 00 ,Success,00:02:32.637.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 7F 00 00 ,Success,00:02:32.638.100
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:02:32.639.100
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:02:32.736.000
CAN2,Receive,Extended,Data,0x0A010002,8,12 4F 00 00 11 A1 00 00 ,Success,00:02:32.737.100
CAN2,Receive,Extended,Data,0x0A010003,8,2F CD 09 60 0E 76 00 00 ,Success,00:02:32.738.100
