Index,Direction,Type,Format,Frame ID,Length,Datas(Hex),Status,Time
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:51.666.300
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:51.763.200
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:51.764.300
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 93 00 00 ,Success,00:00:51.765.300
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:51.766.300
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:51.863.200
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:51.864.300
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 8E 00 00 ,Success,00:00:51.865.300
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:51.866.300
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:51.963.200
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:51.964.300
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 87 00 00 ,Success,00:00:51.965.300
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:51.966.300
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:52.063.200
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:52.064.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 93 00 00 ,Success,00:00:52.065.300
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:52.066.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:52.163.300
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:52.164.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 90 00 00 ,Success,00:00:52.165.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:52.166.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:52.263.300
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:52.264.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 8E 00 00 ,Success,00:00:52.265.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:52.266.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:52.363.300
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:52.364.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 09 60 0E 98 00 00 ,Success,00:00:52.365.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:52.366.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:52.463.300
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:52.464.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 98 00 00 ,Success,00:00:52.465.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:52.466.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:52.563.300
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:52.564.500
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 96 00 00 ,Success,00:00:52.565.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:52.566.500
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:52.663.400
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:52.664.500
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 8E 00 00 ,Success,00:00:52.665.500
