ID 1,Input Voltage (V),Input Current (A),Output Voltage (V),Output Current (A),Internal Power Supply (V),Coolant Temp (C),Internal Temp (C)
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.47
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.44
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.47
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.47
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.41
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.4
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.41
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.44
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.34
,,,,,,,
,,,,,,,
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.34
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.39
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.42
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.44
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.238,24.0,37.4
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.34
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.39
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.5
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.44
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.42
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.41
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.42
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.51
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.51
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.48
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.43
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.45
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.42
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.43
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.43
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.41
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.44
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.42
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.238,24.0,37.42
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.39
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.39
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.47
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.36
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.42
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.37
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.41
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.47
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.42
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.39
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.45
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.47
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.46
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.5
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.45
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.4
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.45
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.56
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.53
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.42
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.42
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.5
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.44
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.44
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.47
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.24,24.0,37.42
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.45
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.5
,,,,,,,
0,,,,,,,
,0.0,0.0,0.0,0.0,,,
,,,,,12.239,24.0,37.5
,,,,,,,
0,,,,,,,
