Index,Direction,Type,Format,Frame ID,Length,Datas(Hex),Status,Time
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:13.024.100
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:13.025.300
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 08 FC 0D 71 00 00 ,Success,00:00:13.026.200
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:13.027.200
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:13.124.100
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:13.125.300
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 08 FC 0D 76 00 00 ,Success,00:00:13.126.300
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:13.127.300
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:13.224.200
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:13.225.300
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 7B 00 00 ,Success,00:00:13.226.300
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:13.227.300
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:13.324.200
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:13.325.300
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 08 FC 0D 78 00 00 ,Success,00:00:13.326.300
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:13.327.300
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:13.424.200
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:13.425.300
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 73 00 00 ,Success,00:00:13.426.300
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:13.427.300
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:13.524.200
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:13.525.300
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 08 FC 0D 78 00 00 ,Success,00:00:13.526.300
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:13.527.300
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:13.624.200
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:13.625.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 08 FC 0D 78 00 00 ,Success,00:00:13.626.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:13.627.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:13.724.300
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:13.725.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 70 00 00 ,Success,00:00:13.726.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:13.727.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:13.824.300
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:13.825.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 77 00 00 ,Success,00:00:13.826.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:13.827.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:13.924.300
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:13.925.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 75 00 00 ,Success,00:00:13.926.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:13.927.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:14.024.300
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:14.025.400
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 76 00 00 ,Success,00:00:14.026.400
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:14.027.400
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:14.124.300
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:14.125.500
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 08 FC 0D 79 00 00 ,Success,00:00:14.126.500
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:14.127.500
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:14.224.400
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:14.225.500
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 08 FC 0D 78 00 00 ,Success,00:00:14.226.500
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:14.227.500
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:14.324.400
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:14.325.500
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 7A 00 00 ,Success,00:00:14.326.500
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:14.327.500
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:14.424.400
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:14.425.500
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 7B 00 00 ,Success,00:00:14.426.500
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:14.427.500
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:14.524.400
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:14.525.500
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 7A 00 00 ,Success,00:00:14.526.500
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:14.527.500
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:14.624.400
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:14.625.600
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 7D 00 00 ,Success,00:00:14.626.500
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:14.627.600
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:14.724.400
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:14.725.600
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 78 00 00 ,Success,00:00:14.726.600
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:14.727.600
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:14.824.500
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:14.825.600
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 76 00 00 ,Success,00:00:14.826.600
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:14.827.600
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:14.924.500
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:14.925.600
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 08 FC 0D 7D 00 00 ,Success,00:00:14.926.600
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:14.927.600
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:15.024.500
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:15.025.600
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 08 FC 0D 78 00 00 ,Success,00:00:15.026.600
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:15.027.600
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:15.124.500
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:15.125.700
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 78 00 00 ,Success,00:00:15.126.600
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:15.127.600
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:15.224.500
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:15.225.700
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 08 FC 0D 78 00 00 ,Success,00:00:15.226.700
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:15.227.700
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:15.324.600
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:15.325.700
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 76 00 00 ,Success,00:00:15.326.700
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:15.327.700
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:15.424.600
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:15.425.700
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 08 FC 0D 7A 00 00 ,Success,00:00:15.426.700
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:15.427.700
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:15.524.600
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:15.525.700
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 7A 00 00 ,Success,00:00:15.526.700
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:15.527.700
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:15.624.600
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:15.625.700
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 08 FC 0D 83 00 00 ,Success,00:00:15.626.700
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:15.627.700
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:15.724.600
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:15.725.800
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 08 FC 0D 7B 00 00 ,Success,00:00:15.726.800
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:15.727.800
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:15.824.700
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:15.825.800
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 77 00 00 ,Success,00:00:15.826.800
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:15.827.800
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:15.924.700
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:15.925.800
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 7E 00 00 ,Success,00:00:15.926.800
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:15.927.800
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:16.024.700
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:16.025.800
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 7F 00 00 ,Success,00:00:16.026.800
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:16.027.800
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:16.124.700
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:16.125.800
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 84 00 00 ,Success,00:00:16.126.800
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:16.127.800
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:16.224.700
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:16.225.900
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 83 00 00 ,Success,00:00:16.226.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:16.227.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:16.324.800
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:16.325.900
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 81 00 00 ,Success,00:00:16.326.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:16.327.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:16.424.800
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:16.425.900
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 83 00 00 ,Success,00:00:16.426.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:16.427.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:16.524.800
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:16.525.900
CAN2,Receive,Extended,Data,0x0A010003,8,2F D0 08 FC 0D 8A 00 00 ,Success,00:00:16.526.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:16.527.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:16.624.800
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:16.625.900
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 87 00 00 ,Success,00:00:16.626.900
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:16.627.900
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:16.724.800
CAN2,Receive,Extended,Data,0x0A010002,8,00 00 00 00 00 00 00 00 ,Success,00:00:16.726.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 08 FC 0D 90 00 00 ,Success,00:00:16.726.900
