0,30,30,29,30,31,30,31,31
1,30,30,29,30,32,31,31,31
1,30,31,29,30,32,31,31,31
2,30,31,29,30,32,31,32,31
3,30,31,29,30,32,31,32,31
3,30,31,29,30,32,31,32,31
4,30,31,29,31,32,31,32,31
4,30,31,29,30,32,31,32,32
5,30,31,29,30,32,32,32,32
6,30,31,29,30,32,32,32,32
6,30,31,29,30,32,32,32,32
7,30,31,30,30,32,32,32,32
8,30,31,30,30,32,32,32,32
8,30,31,30,30,32,32,32,32
9,30,31,30,30,32,32,32,32
9,30,31,30,30,32,32,32,32
10,30,31,30,30,32,32,32,32
11,30,31,29,31,32,32,32,32
11,30,31,29,31,32,32,32,32
12,30,31,30,31,32,32,32,32
13,30,31,30,31,32,32,32,32
14,30,31,30,31,32,32,32,32
14,30,31,30,31,32,32,32,32
15,30,31,30,31,32,32,32,32
16,30,31,30,31,32,32,32,32
16,30,31,30,31,32,32,32,32
17,30,31,30,31,32,32,32,32
18,30,31,30,30,32,32,32,32
19,30,31,30,30,32,32,32,32
19,30,31,30,30,32,32,32,32
20,30,31,30,31,32,32,32,32
21,30,31,30,31,32,32,32,32
21,30,31,30,31,32,32,32,32
22,30,31,30,31,32,32,32,32
23,30,31,30,30,32,32,32,32
24,31,31,30,30,32,32,32,32
24,31,31,30,30,32,32,32,32
25,31,31,30,30,32,32,32,32
26,31,31,30,30,32,32,32,32
27,31,31,30,30,32,32,32,32
28,31,31,30,30,32,32,32,32
29,30,31,30,30,32,32,32,32
29,31,31,30,31,32,32,32,32
30,30,31,30,31,32,32,32,32
31,31,31,30,31,32,32,32,32
32,31,31,30,31,32,32,32,32
33,31,31,30,31,32,32,32,32
34,31,31,30,31,32,32,32,32
34,31,31,29,31,32,32,32,32
35,31,31,30,31,32,32,32,32
36,31,31,29,31,32,32,32,32
37,31,31,29,31,32,32,32,32
38,31,31,30,31,32,32,32,32
39,31,31,30,31,32,32,32,32
40,31,31,30,31,32,32,32,32
41,31,31,30,31,32,32,32,32
42,31,31,30,31,32,32,32,32
43,31,31,30,31,32,32,32,32
43,31,31,30,31,32,32,32,32
44,31,31,30,31,32,32,32,32
45,31,31,30,31,32,32,32,32
46,31,31,30,31,32,32,32,32
47,31,31,30,31,32,32,32,32
48,31,31,30,31,32,32,32,32
49,31,31,30,31,32,32,32,32
50,31,31,29,30,32,32,32,32
51,31,31,29,30,32,32,32,32
52,31,31,30,30,32,32,32,32
53,31,31,30,30,32,32,32,32
54,31,31,30,30,32,32,32,32
55,31,31,30,30,32,32,32,32
56,31,31,30,30,32,32,32,32
57,31,31,30,31,32,32,32,32
58,31,31,30,31,32,32,32,32
59,31,31,30,31,32,32,32,32
60,31,31,30,31,32,32,32,32
61,31,31,30,31,32,32,32,32
62,31,31,30,31,32,32,32,32
63,31,31,30,31,32,32,32,32
64,31,31,30,31,32,32,32,32
65,31,31,29,31,32,32,32,32
66,31,31,29,31,32,32,32,32
67,31,31,29,31,32,32,32,32
68,31,31,29,31,32,32,32,32
69,31,31,29,31,32,32,32,32
70,31,31,29,31,32,32,32,32
71,31,31,30,31,32,32,32,32
72,31,31,30,31,32,32,32,32
73,31,31,30,31,32,32,32,32
74,31,31,30,31,32,32,32,32
75,31,31,30,31,32,32,32,32
76,31,31,30,31,32,32,32,32
78,31,31,30,31,32,32,32,32
79,31,31,30,31,32,32,32,32
80,31,31,30,30,32,32,32,32
81,31,31,30,31,32,32,32,32
82,31,31,30,31,32,32,32,32
83,31,31,30,31,32,32,32,32
84,31,31,30,31,32,32,32,32
85,31,31,30,31,32,32,32,32
86,31,31,30,31,32,32,32,32
86,31,31,30,31,32,32,32,32
87,31,31,30,31,32,32,32,32
87,31,31,30,31,32,32,32,32
88,31,31,30,31,32,32,32,32
88,31,31,30,31,32,32,32,32
89,31,31,29,31,32,32,32,32
89,31,31,29,31,32,32,32,32
90,31,31,29,31,32,32,32,32
90,31,31,29,31,32,32,32,32
