Index,Direction,Type,Format,Frame ID,Length,Datas(Hex),Status,Time
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:10.475.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:10.571.900
CAN2,Receive,Extended,Data,0x0A010002,8,12 61 00 00 11 B8 00 00 ,Success,00:00:10.573.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CF 09 60 0E 88 00 00 ,Success,00:00:10.574.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:10.575.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:10.671.900
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 B8 00 00 ,Success,00:00:10.673.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 8A 00 00 ,Success,00:00:10.674.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:10.675.000
CAN2,Receive,Extended,Data,0x0A010001,2,00 00 ,Success,00:00:10.771.900
CAN2,Receive,Extended,Data,0x0A010002,8,12 62 00 00 11 B8 00 00 ,Success,00:00:10.773.000
CAN2,Receive,Extended,Data,0x0A010003,8,2F CE 09 60 0E 8A 00 00 ,Success,00:00:10.774.000
CAN2,Receive,Extended,Data,0x1A01000B,8,00 00 00 08 00 00 00 00 ,Success,00:00:10.775.000
